200001456,Daniel Smith, 7,5,3,6,3,58,74,68
200002416,Shannon Ross, 5,9,4,3,8,63,58,55
200005426,Melissa Black, 6,8,7,8,7,67,65,66
200006847,Patrick Blair, 9,9,8,7,8,76,68,72
200008764,Jessica Stone, 7,6,7,8,6,54,65,57
200008975,Lisa Gregory, 6,7,6,5,3,50,43,40
200102832,Timothy Adams, 4,5,9,0,3,62,42,50
200104444,Steve Burns, 6,7,6,8,9,65,70,69
200106543,Patrick Riley, 8,8,9,7,8,75,82,76
200107654,Tom Peters, 8,6,7,9,8,75,85,82
200108762,Julie Anderson, 7,6,5,4,3,63,52,45
200109324,Andrew York, 10,9,10,9,10,64,85,80
200200123,John Smith, 9,8,9,10,9,85,88,80
200202468,Betty White, 8,7,7,8,9,70,75,72
200203893,Barney Kent, 10,8,7,9,8,82,65,74
200205555,Fred Jones, 7,8,9,8,9,74,70,68
200206239,Pat Turner, 7,8,6,9,8,65,62,69
200206983,Henry Presley, 5,3,5,2,0,22,30,30
200207736,Sara Wilson, 9,9,9,9,10,95,93,98
200209876,Jane Grant, 5,6,5,0,0,45,50,40
